unix_ts,bpm
1778558402,112
1778558403,114
1778558405,115
1778558408,115
1778558409,112
1778558411,109
1778558413,107
1778558415,105
1778558417,106
1778558419,108
1778558422,108
1778558424,110
1778558426,111
1778558428,112
1778558430,113
1778558432,114
1778558434,113
1778558436,112
1778558439,112
1778558442,113
1778558445,113
1778558448,113
1778558449,112
1778558451,114
1778558453,115
1778558455,116
1778558457,115
1778558459,113
1778558461,110
1778558463,109
1778558466,109
1778558467,110
1778558470,110
1778558473,110
1778558474,109
1778558476,108
1778558479,108
1778558480,109
1778558482,110
1778558484,111
1778558486,112
1778558489,112
1778558491,111
1778558493,110
1778558495,111
1778558498,111
1778558499,112
1778558502,112
1778558503,114
1778558506,114
1778558509,113
1778558511,112
1778558514,112
1778558517,112
1778558520,112
1778558522,111
1778558524,110
1778558527,110
1778558528,111
1778558530,112
1778558532,111
1778558534,112
1778558537,112
1778558540,112
1778558541,114
1778558544,114
1778558547,112
1778558550,112
1778558551,110
1778558553,112
1778558556,112
1778558557,113
1778558559,114
1778558562,114
1778558565,114
1778558566,113
1778558568,114
1778558571,114
1778558574,114
1778558576,115
1778558578,116
1778558581,116
1778558584,116
1778558587,117
1778558590,117
1778558593,116
1778558595,115
1778558597,114
1778558600,114
1778558603,114
1778558605,115
1778558608,115
1778558609,116
1778558612,115
1778558615,115
1778558618,114
1778558620,115
1778558622,116
1778558624,116
1778558627,116
1778558628,115
1778558631,115
1778558634,114
1778558637,114
1778558640,114
1778558643,114
1778558645,115
1778558648,115
1778558651,114
1778558654,114
1778558655,115
1778558657,116
1778558659,117
1778558662,116
1778558664,115
1778558666,114
1778558668,116
1778558671,116
1778558672,115
1778558674,114
1778558677,114
1778558680,113
1778558682,112
1778558685,112
1778558687,114
1778558689,115
1778558691,116
1778558694,116
1778558695,116
1778558697,117
1778558699,118
1778558701,117
1778558704,117
1778558705,116
1778558708,115
1778558711,115
1778558712,116
1778558715,116
1778558718,115
1778558720,116
1778558723,116
1778558724,118
1778558726,119
1778558728,120
1778558731,120
1778558733,118
1778558735,116
1778558737,114
1778558740,114
1778558741,115
1778558743,114
1778558746,114
1778558747,113
1778558749,112
1778558751,113
1778558754,113
1778558757,113
1778558758,114
1778558760,115
1778558762,116
1778558764,117
1778558767,117
1778558768,116
1778558771,116
1778558774,115
1778558776,114
1778558778,112
1778558781,112
1778558783,113
1778558786,113
1778558789,115
1778558791,116
1778558793,116
1778558795,117
1778558797,118
1778558799,119
1778558801,120
1778558803,119
1778558804,118
1778558806,116
1778558809,116
1778558810,114
1778558813,114
1778558814,112
1778558817,112
1778558820,113
1778558822,112
1778558824,113
1778558826,114
1778558829,114
1778558832,114
1778558833,115
1778558835,116
1778558838,116
1778558841,116
1778558843,114
1778558846,114
1778558849,114
1778558852,114
1778558854,113
1778558857,113
1778558858,114
1778558861,114
1778558864,114
1778558867,114
1778558868,115
1778558870,115
1778558872,114
1778558874,112
1778558877,112
1778558880,112
1778558883,112
1778558886,112
1778558889,112
1778558892,112
1778558895,112
1778558898,112
1778558901,112
1778558902,111
1778558905,111
1778558906,112
1778558908,111
1778558910,112
1778558913,112
1778558914,113
1778558916,114
1778558918,114
1778558921,114
1778558924,114
1778558925,113
1778558928,113
1778558929,112
1778558932,112
1778558933,113
1778558935,112
1778558938,112
1778558941,112
1778558943,111
1778558945,112
1778558948,112
1778558950,113
1778558952,114
1778558955,114
1778558958,109
1778558960,107
1778558962,106
1778558965,106
1778558966,108
1778558969,108
1778558970,109
1778558971,110
1778558974,110
1778558975,111
1778558977,112
1778558980,112
1778558981,111
1778558984,111
1778558985,112
1778558988,112
1778558991,110
1778558993,108
1778558996,108
1778558998,107
1778559000,106
1778559002,107
1778559004,110
1778559006,111
1778559008,112
1778559010,113
1778559012,114
1778559015,114
1778559016,116
1778559019,116
1778559021,115
1778559023,114
1778559025,113
1778559027,112
1778559029,111
1778559031,112
1778559034,112
1778559037,113
1778559039,112
1778559042,112
1778559043,113
1778559044,114
1778559046,113
1778559048,114
1778559050,116
1778559052,118
1778559055,118
1778559056,118
1778559058,116
1778559060,113
1778559062,111
1778559065,111
1778559066,112
1778559067,113
1778559070,113
1778559071,114
1778559074,114
1778559077,114
1778559080,114
1778559081,113
1778559084,113
1778559087,113
1778559089,114
1778559092,114
1778559094,113
1778559096,112
1778559098,113
1778559100,114
1778559103,114
1778559106,115
1778559109,115
1778559110,115
1778559112,116
1778559114,114
1778559115,115
1778559117,114
1778559120,114
1778559123,115
1778559126,115
1778559127,115
1778559130,115
1778559131,116
1778559134,116
1778559137,116
1778559139,115
1778559140,114
1778559143,114
1778559146,114
1778559149,114
1778559152,114
1778559154,112
1778559156,113
1778559158,114
1778559160,113
1778559162,112
1778559163,113
1778559166,113
1778559168,114
1778559169,114
1778559172,114
1778559173,116
1778559176,116
1778559177,118
1778559180,118
1778559183,116
1778559185,115
1778559188,115
1778559191,114
1778559192,113
1778559194,113
1778559197,113
1778559198,113
1778559200,112
1778559202,113
1778559204,112
1778559206,113
1778559208,112
1778559211,112
1778559214,111
1778559217,110
1778559219,108
1778559221,109
1778559224,109
1778559227,109
1778559230,109
1778559231,109
1778559233,110
1778559235,111
1778559237,112
1778559240,112
1778559243,112
1778559246,110
1778559249,110
1778559250,111
1778559252,112
1778559255,112
1778559258,113
1778559260,112
1778559263,112
1778559266,112
1778559267,111
1778559269,110
1778559271,109
1778559273,110
1778559275,111
1778559277,112
1778559280,112
1778559283,112
1778559286,112
1778559287,111
1778559288,108
1778559290,105
1778559292,103
1778559294,103
1778559296,104
1778559299,104
1778559300,106
1778559302,107
1778559304,108
1778559307,108
1778559310,107
1778559313,108
1778559316,108
1778559319,108
1778559322,108
1778559323,107
1778559325,108
1778559328,108
1778559329,109
1778559332,109
1778559333,108
1778559335,109
1778559338,109
1778559340,108
1778559342,109
1778559344,110
1778559347,110
1778559348,112
1778559351,112
1778559352,112
1778559355,112
1778559358,111
1778559360,110
1778559361,108
1778559363,107
1778559366,107
1778559367,106
1778559370,106
1778559373,107
1778559375,108
1778559378,108
1778559381,107
1778559384,106
1778559386,107
1778559388,108
1778559391,108
1778559394,108
1778559396,109
1778559398,111
1778559400,112
1778559403,112
1778559406,111
1778559408,110
1778559409,109
1778559411,108
1778559413,106
1778559415,105
1778559417,104
1778559420,104
1778559423,106
1778559426,106
1778559427,107
1778559429,108
1778559431,107
1778559432,106
1778559434,105
1778559437,105
1778559438,106
1778559441,106
1778559444,109
1778559446,110
1778559449,110
1778559452,110
1778559454,109
1778559456,108
1778559459,108
1778559462,108
1778559465,109
1778559467,110
1778559470,110
1778559471,109
1778559474,109
1778559477,110
1778559479,110
1778559480,109
1778559483,109
1778559486,109
1778559488,107
1778559490,106
1778559493,106
1778559496,107
1778559498,108
1778559501,108
1778559504,108
1778559507,108
1778559509,107
1778559512,107
1778559513,106
1778559515,108
1778559518,108
1778559521,109
1778559523,108
1778559526,108
1778559529,108
1778559532,108
1778559535,108
1778559536,106
1778559539,106
1778559542,106
1778559544,105
1778559546,106
1778559549,106
1778559550,108
1778559552,110
1778559555,108
1778559558,108
1778559559,107
1778559562,107
1778559563,108
1778559566,108
1778559567,107
1778559569,106
1778559572,106
1778559575,107
1778559578,107
1778559580,106
1778559582,105
1778559585,105
1778559586,106
1778559589,106
1778559592,107
1778559595,107
1778559598,108
1778559601,110
1778559603,111
1778559605,112
1778559608,112
1778559609,112
1778559611,110
1778559614,110
1778559617,110
1778559620,110
1778559623,110
1778559626,109
1778559628,108
1778559631,108
1778559632,107
1778559634,109
1778559636,111
1778559638,112
1778559641,112
1778559642,113
1778559644,114
1778559646,115
1778559648,116
1778559649,117
1778559651,118
1778559653,117
1778559655,114
1778559657,110
1778559659,108
1778559661,109
1778559663,110
1778559665,109
1778559667,109
1778559670,109
1778559671,111
1778559672,112
1778559674,114
1778559677,114
1778559678,115
1778559680,116
1778559683,116
1778559686,118
1778559689,118
1778559692,118
1778559694,120
1778559696,120
1778559697,119
1778559699,118
1778559701,118
1778559704,118
1778559705,117
1778559707,116
1778559709,116
1778559711,115
1778559713,114
1778559715,112
1778559717,111
1778559720,112
1778559722,113
1778559724,113
1778559726,112
1778559729,112
1778559730,111
1778559732,112
1778559735,112
1778559736,114
1778559738,116
1778559741,116
1778559742,114
1778559744,112
1778559745,110
1778559747,111
1778559749,112
1778559751,113
1778559754,113
1778559755,114
1778559757,115
1778559759,114
1778559761,106
1778559763,104
1778559766,104
1778559767,106
1778559768,111
1778559770,112
1778559773,112
1778559774,113
1778559776,112
1778559778,111
1778607048,111
1778607050,110
1778607053,110
1778607054,113
1778607056,112
1778607058,113
1778607061,113
1778607062,111
1778607064,111
1778607067,111
1778607068,109
1778607070,101
1778607071,86
1778607073,82
1778607075,83
1778607077,86
1778607079,86
1778607081,87
1778610839,87
1778610841,85
1778610843,86
1778610845,82
1778610847,84
1778610849,89
1778610851,92
1778610852,101
1778610855,101
1778610858,101
1778610860,97
1778610862,92
1778610864,94
1778610866,96
1778610868,97
1778610870,101
1778610872,102
1778610874,103
1778610876,102
1778610877,95
1778610879,92
1778610881,88
1778610883,82
1778610885,81
1778610888,81
1778610889,82
1778610891,86
1778610893,87
1778610895,85
1778610897,89
1778610899,90
1778610900,92
1778610902,95
1778610904,101
1778610906,98
1778610908,95
1778610910,99
1778610912,94
1778610914,92
1778610916,92
1778610918,89
1778610920,93
1778610922,95
1778610924,87
1778610925,86
1778610927,87
1778610929,86
1778610931,83
1778610933,79
1778610935,78
1778610937,79
1778610939,77
1778610942,77
1778610943,77
1778610946,77
1778610947,76
1778610950,78
1778610952,77
1778610954,76
1778610956,75
1778610958,76
1778610960,77
1778610962,78
1778610964,79
1778610967,79
1778610970,79
1778610972,78
1778610973,76
1778610976,76
1778610977,77
1778610979,78
1778610982,78
1778610983,80
1778610985,81
1778610988,81
1778610989,80
1778610992,80
1778610995,80
1778610998,81
1778611000,82
1778611002,82
1778611004,84
1778611006,85
1778611009,85
1778611010,84
1778611012,82
1778611014,82
1778611016,82
1778611019,82
1778611021,82
1778611023,84
1778611025,87
1778611028,87
1778611029,86
1778611032,86
1778611033,87
1778611036,87
1778611037,86
1778611039,87
1778611041,90
1778611043,92
1778611044,91
1778611046,90
1778611048,88
1778611051,88
1778611054,89
1778611056,90
1778611058,88
1778611060,86
1778611063,86
1778611064,86
1778611066,87
1778611068,88
1778611071,88
1778611073,90
1778611076,90
1778611077,89
1778611080,89
1778611081,90
1778611083,91
1778611086,91
1778611087,90
1778611090,90
1778611091,89
1778611094,89
1778611096,88
1778611098,86
1778611100,85
1778611103,85
1778611104,83
1778611106,81
1778611108,80
1778611111,80
1778611112,79
1778611114,80
1778611116,81
1778611119,81
1778611120,82
1778611123,79
1778611125,80
1778611127,79
1778611129,80
1778611131,81
1778611133,80
1778611135,79
1778611137,78
1778611139,79
1778611141,80
1778611144,80
1778611145,79
1778611148,80
1778611150,82
1778611152,84
1778611154,85
1778611156,84
1778611159,84
1778611162,86
1778611164,87
1778611166,88
1778611168,90
1778611169,88
1778611171,88
1778611173,86
1778611176,86
1778611177,84
1778611180,84
1778611181,82
1778611184,82
1778611187,84
1778611189,86
1778611191,87
1778611193,89
1778611194,92
1778611196,94
1778611198,93
1778611200,89
1778611202,85
1778611204,84
1778611207,84
1778611210,85
1778611212,86
1778611214,85
1778611216,84
1778611219,84
1778611222,84
1778611223,85
1778611226,85
1778611227,84
1778611229,84
1778611231,86
1778611234,86
1778611235,85
1778611237,84
1778611240,84
1778611241,86
1778611244,85
1778611246,84
1778611248,83
1778611251,83
1778611252,84
1778611255,84
1778611258,84
1778611260,83
1778611263,83
1778611264,84
1778611267,82
1778611270,82
1778611273,82
1778611275,83
1778611277,84
1778611279,87
1778611281,90
1778611284,90
1778611285,88
1778611287,86
1778611289,85
1778611290,84
