unix_ts,bpm
1778615553,71
1778615554,70
1778615555,70
1778615556,70
1778615557,70
1778615558,69
1778615559,69
1778615560,69
1778615561,69
1778615562,69
1778615563,69
1778615564,69
1778615565,69
1778615566,69
1778615567,69
1778615568,68
1778615569,68
1778615570,68
1778615571,68
1778615572,67
1778615573,68
1778615574,68
1778615575,68
1778615576,69
1778615577,68
1778615578,70
1778615579,70
1778615580,71
1778615581,71
1778615582,71
1778615583,70
1778615584,70
1778615585,70
1778615586,70
1778615587,71
1778615588,71
1778615589,72
1778615590,72
1778615591,73
1778615592,73
1778615593,72
1778615594,72
1778615595,72
1778615596,72
1778615597,72
1778615598,71
1778615599,70
1778615600,70
1778615601,70
1778615602,70
1778615603,70
1778615604,70
1778615605,70
1778615606,70
1778615607,72
1778615608,73
1778615609,74
1778615610,74
1778615611,74
1778615612,73
1778615613,74
1778615614,73
1778615615,74
1778615616,74
1778615617,74
1778615618,73
1778615619,73
1778615620,72
1778615621,71
1778615622,71
1778615623,71
1778615624,71
1778615625,71
1778615626,71
1778615627,70
1778615628,71
1778615629,71
1778615630,71
1778615631,72
1778615632,72
1778615633,73
1778615634,74
1778615635,74
1778615636,74
1778615637,73
1778615638,73
1778615639,72
1778615640,71
1778615641,70
1778615642,70
1778615643,70
1778615644,70
1778615645,71
1778615646,71
1778615647,71
1778615648,71
1778615649,71
1778615650,71
1778615651,71
1778615652,71
1778615653,71
1778615654,71
1778615655,72
1778615656,72
1778615657,72
1778615658,72
1778615659,73
1778615660,73
1778615661,74
1778615662,74
1778615663,75
1778615664,74
1778615665,74
1778615666,73
1778615667,72
1778615668,72
1778615669,72
1778615670,71
1778615671,71
1778615672,72
1778615673,72
1778615674,72
1778615675,73
1778615676,73
1778615677,73
1778615678,72
1778615679,73
1778615680,74
1778615681,74
1778615682,74
1778615683,73
1778615684,72
1778615685,71
1778615686,70
1778615687,70
1778615688,69
1778615689,69
1778615690,69
1778615691,69
1778615692,69
1778615693,69
1778615694,68
1778615695,68
1778615696,68
1778615697,68
1778615698,68
1778615699,68
1778615700,68
1778615701,68
1778615702,67
1778615703,67
1778615704,67
1778615705,67
1778615706,67
1778615707,66
1778615708,66
1778615709,66
1778615710,66
1778615711,67
1778615712,67
1778615713,68
1778615714,69
1778615715,69
1778615716,69
1778615717,68
1778615718,68
1778615719,68
1778615720,67
1778615721,67
1778615722,67
1778615723,67
1778615724,67
1778615725,67
1778615726,67
1778615727,67
1778615728,67
1778615729,67
1778615730,68
1778615731,68
1778615732,68
1778615733,68
1778615734,67
1778615735,67
1778615736,67
1778615737,67
1778615738,67
1778615739,67
1778615739,66
1778615741,66
1778615742,66
1778615743,66
1778615743,67
1778615745,66
1778615746,67
1778615747,67
1778615749,66
1778615750,66
1778615751,66
1778615751,67
1778615753,68
1778615754,69
1778615755,69
1778615755,70
1778615757,70
1778615758,70
1778615759,69
1778615760,69
1778615761,68
1778615762,68
1778615763,67
1778615763,68
1778615765,68
1778615766,67
1778615767,67
1778615769,67
1778615770,67
1778615771,67
1778615773,67
1778615774,66
1778615775,66
1778615775,67
1778615777,67
1778615778,68
1778615779,68
1778615779,69
1778615781,69
1778615782,69
1778615783,70
1778615783,71
1778615785,71
1778615786,72
1778615787,72
1778615789,72
1778615790,71
1778615791,71
1778615793,72
1778615794,72
1778615795,72
1778615797,73
1778615798,73
1778615799,73
1778615801,73
1778615802,73
1778615803,73
1778615805,74
1778615806,74
1778615807,74
1778615809,74
1778615810,75
1778615811,74
1778615813,74
1778615814,74
1778615815,73
1778615817,74
1778615818,74
1778615819,73
1778615820,73
1778615821,73
1778615822,73
1778615823,73
1778615825,73
1778615826,72
1778615827,71
1778615827,70
1778615829,69
1778615830,69
1778615831,68
1778615831,69
1778615833,68
1778615834,68
1778615835,68
1778615837,69
1778615838,69
1778615839,70
1778615841,71
1778615842,71
1778615843,72
1778615845,71
1778615846,71
1778615847,71
1778615849,71
1778615850,71
1778615851,70
1778615851,69
1778615853,68
1778615854,68
1778615855,67
1778615857,67
1778615858,67
1778615859,67
1778615861,67
1778615862,67
1778615863,66
1778615865,66
1778615866,65
1778615867,65
1778615869,64
1778615870,64
1778615871,64
1778615871,63
1778615873,64
1778615874,64
1778615875,65
1778615875,66
1778615877,67
1778615878,68
1778615879,69
1778615879,70
1778615880,70
1778615881,71
1778615882,72
1778615883,72
1778615883,71
1778615885,71
1778615886,71
1778615887,72
1778615887,73
1778615889,73
1778615890,74
1778615891,74
1778615891,73
1778615893,72
1778615894,71
1778615895,70
1778615897,69
1778615898,69
1778615899,69
1778615901,69
1778615902,69
1778615903,68
1778615905,68
1778615906,67
1778615907,67
1778615907,68
